,id,ventas,,
1,773607,41562.7152,0%,
2,863979,38526.063,0%,
3,969156,34522.2,0%,
4,477971,31518.1632,0%,
5,337161,26517.7968,0%,
6,507880,24234.486,0%,
7,519948,23614.785,0%,
8,974308,22201.1,0%,
9,353203,21992.679,0%,
10,420056,18815.1954,0%,
11,479116,18541.3662,0%,
12,440033,17577.9354,0%,
13,265306,16679.7132,0%,
14,873141,16429.2624,0%,
15,423648,15795.3528,0%,
16,829586,14595.8634,0%,
17,314401,13859.9844,0%,
18,767399,12997.2582,0%,
19,426121,12935.8848,0%,
20,576391,11798.9622,0%,
21,303615,11478.57,0%,
22,571114,11211.1668,0%,
23,286894,11187.9516,0%,
24,500601,10973.8638,0%,
25,700190,10937.562,0%,
26,329360,10923.6084,0%,
27,452252,10678.2984,0%,
28,934962,10608.07,0%,
29,649453,10576.0842,0%,
30,647832,10464.5064,0%,
31,254164,10445.5242,0%,
32,328733,10382.4882,0%,
33,279823,10325.919,0%,
34,567763,10164.8508,0%,
35,628365,10045.98,0%,
36,590838,9732.2076,0%,
37,356395,9663.6738,0%,
38,280764,9203.9292,0%,
39,819694,9121.299,0%,
40,500254,9033.0792,0%,
41,762692,8959.4556,0%,
42,270584,8888.4738,0%,
43,813194,8781.1188,0%,
44,807042,8700.6408,0%,
45,535623,8577.129,0%,
46,678163,8575.5786,0%,
47,830255,8525.4558,0%,
48,450012,8391.6216,0%,
49,482488,8355.585,0%,
50,598663,8178.87,0%,
51,712444,8137.0806,0%,
52,617433,8083.6224,0%,
53,829098,8038.5078,0%,
54,389897,8035.0908,0%,
55,628110,7994.5968,0%,
56,618081,7993.8216,0%,
57,257625,7987.824,0%,
58,745579,7901.7054,0%,
59,831569,7865.1996,0%,
60,611970,7829.7546,0%,
61,706351,7708.2726,0%,
62,547709,7628.6208,0%,
63,682265,7557.945,0%,
64,848718,7509.6582,0%,
65,692830,7509.5358,0%,
66,600273,7362.207,0%,
67,516310,7312.3902,0%,
68,417931,7216.857,0%,
